"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04312099999","2010-08-14T18:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","350,1,N,0113,1","99999,9,9,N","999999,9,N,1","-0008,1","-0012,1","10152,1","99999,9,10109,1","2,1,001,1,+999,9",,"SYN060AAXX  14184 04312 46/// /3522 11008 21012 30109 40152 52001;",
"04312099999","2010-08-14T21:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","320,1,N,0077,1","99999,9,9,N","999999,9,N,1","-0005,1","-0008,1","10169,1","99999,9,10126,1","2,1,017,1,+999,9",,"SYN060AAXX  14214 04312 46/// /3215 11005 21008 30126 40169 52017;",
"04312099999","2010-08-15T00:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","330,1,N,0082,1","99999,9,9,N","999999,9,N,1","-0005,1","-0009,1","10182,1","99999,9,10139,1","2,1,013,1,+999,9",,"SYN060AAXX  15004 04312 46/// /3316 11005 21009 30139 40182 52013;",
"04312099999","2010-08-15T03:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","360,1,N,0087,1","99999,9,9,N","999999,9,N,1","-0007,1","-0010,1","10198,1","99999,9,10155,1","2,1,016,1,+999,9",,"SYN060AAXX  15034 04312 46/// /3617 11007 21010 30155 40198 52016;",
"04312099999","2010-08-15T06:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","310,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0007,1","-0013,1","10211,1","99999,9,10168,1","2,1,013,1,+999,9",,"SYN060AAXX  15064 04312 46/// /3107 11007 21013 30168 40211 52013;",
"04312099999","2010-08-15T09:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","280,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0001,1","-0013,1","10212,1","99999,9,10169,1","2,1,001,1,+999,9",,"SYN060AAXX  15094 04312 46/// /2803 10001 21013 30169 40212 52001;",
"04312099999","2010-08-15T12:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","200,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0010,1","-0021,1","10211,1","99999,9,10168,1","7,1,001,1,+999,9",,"SYN060AAXX  15124 04312 46/// /2005 10010 21021 30168 40211 57001;",
"04312099999","2010-08-15T18:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","100,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0018,1","-0005,1","10199,1","99999,9,10156,1",,,"SYN054AAXX  15184 04312 46/// /1003 10018 21005 30156 40199;",
"04312099999","2010-08-15T21:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","070,1,N,0046,1","99999,9,9,N","999999,9,N,1","+0005,1","-0019,1","10204,1","99999,9,10161,1","2,1,005,1,+999,9",,"SYN060AAXX  15214 04312 46/// /0709 10005 21019 30161 40204 52005;",
"04312099999","2010-08-16T00:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","050,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0003,1","-0016,1","10221,1","99999,9,10178,1","2,1,017,1,+999,9",,"SYN060AAXX  16004 04312 46/// /0509 11003 21016 30178 40221 52017;",
"04312099999","2010-08-16T03:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","040,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0010,1","-0011,1","10231,1","99999,9,10188,1","2,1,010,1,+999,9",,"SYN060AAXX  16034 04312 46/// /0404 11010 21011 30188 40231 52010;",
"04312099999","2010-08-16T06:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","040,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0016,1","-0024,1","10240,1","99999,9,10197,1","2,1,009,1,+999,9",,"SYN060AAXX  16064 04312 46/// /0404 11016 21024 30197 40240 52009;",
"04312099999","2010-08-16T09:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0010,1","-0026,1","10250,1","99999,9,10207,1","2,1,010,1,+999,9",,"SYN060AAXX  16094 04312 46/// /2502 11010 21026 30207 40250 52010;",
"04312099999","2010-08-16T12:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","220,1,N,0036,1","99999,9,9,N","999999,9,N,1","+0000,1","-0011,1","10259,1","99999,9,10216,1","2,1,009,1,+999,9",,"SYN060AAXX  16124 04312 46/// /2207 10000 21011 30216 40259 52009;",
"04312099999","2010-08-16T15:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","240,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0012,1","-0017,1","10261,1","99999,9,10218,1","2,1,002,1,+999,9",,"SYN060AAXX  16154 04312 46/// /2404 10012 21017 30218 40261 52002;",
"04312099999","2010-08-16T18:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","300,1,N,0005,1","99999,9,9,N","999999,9,N,1","+0021,1","-0026,1","10264,1","99999,9,10221,1","2,1,003,1,+999,9",,"SYN060AAXX  16184 04312 46/// /3001 10021 21026 30221 40264 52003;",
"04312099999","2010-08-16T21:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","090,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0018,1","-0016,1","10267,1","99999,9,10224,1","2,1,003,1,+999,9",,"SYN060AAXX  16214 04312 46/// /0903 10018 21016 30224 40267 52003;",
"04312099999","2010-08-17T00:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","300,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0013,1","-0013,1","10275,1","99999,9,10232,1","2,1,008,1,+999,9",,"SYN060AAXX  17004 04312 46/// /3002 10013 21013 30232 40275 52008;",
