"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01088499999","2010-09-08T04:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0041,1","00480,1,C,N","011265,1,N,1","+0110,1","+0090,1","99999,9","04,5,+00300,1,99,9","07,5,+00480,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET058METAR ENSN 080450Z 07008KT 9999 SCT010 BKN016 11/09 Q1022;",
"01088499999","2010-09-08T05:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","080,1,N,0031,1","00300,1,C,N","011265,1,N,1","+0110,1","+0090,1","99999,9","07,5,+00300,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET059METAR ENSN 080550Z 08006KT 020V130 9999 BKN010 11/09 Q1022;",
"01088499999","2010-09-08T06:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0031,1","00300,1,C,N","011265,1,N,1","+0110,1","+0090,1","99999,9","07,5,+00300,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET051METAR ENSN 080650Z 07006KT 9999 BKN010 11/09 Q1023;",
"01088499999","2010-09-08T07:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","080,1,N,0041,1","00300,1,C,N","011265,1,N,1","+0110,1","+0090,1","99999,9","02,5,+00240,1,99,9","07,5,+00300,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET058METAR ENSN 080750Z 08008KT 9999 FEW008 BKN010 11/09 Q1023;",
"01088499999","2010-09-08T08:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0036,1","00360,1,C,N","011265,1,N,1","+0120,1","+0090,1","99999,9","07,5,+00360,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET051METAR ENSN 080850Z 07007KT 9999 BKN012 12/09 Q1023;",
"01088499999","2010-09-08T09:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","060,1,N,0046,1","00360,1,C,N","011265,1,N,1","+0130,1","+0090,1","99999,9","07,5,+00360,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET059METAR ENSN 080950Z 06009KT 350V120 9999 BKN012 13/09 Q1023;",
"01088499999","2010-09-08T10:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0041,1","00360,1,C,N","011265,1,N,1","+0130,1","+0090,1","99999,9","02,5,+00240,1,99,9","07,5,+00360,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10230,1,99999,9",,,,,"MET066METAR ENSN 081050Z 07008KT 360V120 9999 FEW008 BKN012 13/09 Q1023;",
"01088499999","2010-09-08T11:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0046,1","00450,1,C,N","011265,1,N,1","+0130,1","+0100,1","99999,9","02,5,+00300,1,99,9","07,5,+00450,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET058METAR ENSN 081150Z VRB09KT 9999 FEW010 BKN015 13/10 Q1022;",
"01088499999","2010-09-08T12:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0031,1","00570,1,C,N","011265,1,N,1","+0140,1","+0100,1","99999,9","07,5,+00570,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET051METAR ENSN 081250Z VRB06KT 9999 BKN019 14/10 Q1022;",
"01088499999","2010-09-08T13:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","060,1,N,0046,1","00810,1,C,N","011265,1,N,1","+0140,1","+0100,1","99999,9","07,5,+00810,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET059METAR ENSN 081350Z 06009KT 360V120 9999 BKN027 14/10 Q1022;",
"01088499999","2010-09-08T14:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","060,1,N,0031,1","01920,5,C,N","011265,1,N,1","+0140,1","+0100,1","99999,9","04,5,+00750,1,99,9","07,5,+01920,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET066METAR ENSN 081450Z 06006KT 360V120 9999 SCT025 BKN064 14/10 Q1022;",
"01088499999","2010-09-08T15:20:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","060,1,N,0036,1","01830,5,C,N","011265,1,N,1","+0140,1","+0100,1","99999,9","02,5,+01230,1,99,9","07,5,+01830,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10210,1,99999,9",,,,,"MET066METAR ENSN 081520Z 06007KT 360V120 9999 FEW041 BKN061 14/10 Q1021;",
