"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AW1","AZ1","GA1","GA2","KA1","KA2","MA1","MD1","REM","EQD"
"02458099999","2010-03-28T18:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","310,1,N,0010,1","00420,1,C,N","014000,1,N,1","+0009,1","+0007,1","09975,1","12,0020,9,1",,"61,1","6,1,06,1","07,1,+00420,1,99,9",,"120,M,+0024,1","999,N,+0003,1","99999,9,09950,1","3,1,014,1,+999,9","SYN106AAXX  28181 02458 07464 /3101 10009 20007 39950 49975 53014 60022 76165 333 10024 20003 69925 87/14 88/21;",
"02458099999","2010-03-28T21:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","100,1,N,0010,1","00600,1,C,N","025000,1,N,1","+0006,1","+0006,1","09981,1",,,"00,1","6,1,03,1","08,1,+00600,1,99,9",,,,"99999,9,09955,1","1,1,006,1,+999,9","SYN076AAXX  28211 02458 47575 /1001 10006 20006 39955 49981 51006 70065 333 88/20;",
"02458099999","2010-03-29T00:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","110,1,N,0020,1","00420,1,C,N","050000,1,N,1","+0008,1","+0005,1","09980,1",,,"00,1","8,1,06,1","08,1,+00420,1,99,9",,,,"99999,9,09955,1","4,1,000,1,+999,9","SYN076AAXX  29001 02458 47484 /1102 10008 20005 39955 49980 54001 70086 333 88/14;",
"02458099999","2010-03-29T03:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","110,1,N,0020,1","00180,1,C,N","029000,1,N,1","+0007,1","+0007,1","09976,1",,,"00,1","8,1,03,1","07,1,+00180,1,99,9",,,,"99999,9,09950,1","7,1,005,1,+999,9","SYN082AAXX  29031 02458 47279 /1102 10007 20007 39950 49976 57005 70087 333 87/06 88/08;",
"02458099999","2010-03-29T06:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","120,1,N,0030,1","00120,1,C,N","002900,1,N,1","+0008,1","+0008,1","09974,1","12,0005,9,1","24,0023,9,1","51,1","8,1,06,1","09,1,+00120,1,99,9",,"120,M,+0011,1","999,N,+0004,1","99999,9,09948,1","7,1,002,1,+999,9","SYN106AAXX  29061 02458 07/29 /1203 10008 20008 39948 49974 57002 69952 75187 333 10011 20004 69915 70023 89/04;",
"02458099999","2010-03-29T09:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","200,1,N,0020,1","00150,1,C,N","007000,1,N,1","+0026,1","+0026,1","09978,1",,,"23,1","8,1,03,1","06,1,+00150,1,99,9",,,,"99999,9,09953,1","2,1,005,1,+999,9","SYN082AAXX  29091 02458 47257 /2002 10026 20026 39953 49978 52005 72386 333 86/05 88/07;",
"02458099999","2010-03-29T12:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","190,1,N,0010,1","00420,1,C,N","030000,1,N,1","+0048,1","+0033,1","09983,1",,,"00,1","6,1,06,1","08,1,+00420,1,99,9",,,,"99999,9,09958,1","2,1,005,1,+999,9","SYN076AAXX  29121 02458 47480 /1901 10048 20033 39958 49983 52005 70065 333 88/14;",
"02458099999","2010-03-29T15:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","090,1,N,0010,1","00840,1,C,N","030000,1,N,1","+0027,1","+0022,1","09985,1",,,"61,1","6,1,03,1","04,1,+00630,1,99,9","06,1,+00840,1,99,9",,,"99999,9,09959,1","3,1,001,1,+999,9","SYN088AAXX  29151 02458 47580 /0901 10027 20022 39959 49985 53001 76165 333 84/21 86/28 87/40;",
"02458099999","2010-03-29T18:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","320,1,N,0010,1","99999,9,9,N","009000,1,N,1","+0013,1","+0013,1","09991,1","12,0010,9,1",,"10,1","8,1,06,1","01,1,+00570,1,99,9",,"120,M,+0060,1","999,N,+0008,1","99999,9,09965,1","3,1,006,1,+999,9","SYN100AAXX  29181 02458 17459 /3201 10013 20013 39965 49991 53006 60012 71086 333 10060 20008 81/19 88/26;",
"02458099999","2010-03-29T21:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","040,1,N,0010,1","00030,1,C,N","000200,1,N,1","+0009,1","+0009,1","09996,1",,,"81,1","8,1,03,1","09,1,+00030,1,99,9",,,,"99999,9,09970,1","2,1,005,1,+999,9","SYN076AAXX  29211 02458 47/02 /0401 10009 20009 39970 49996 52005 78187 333 89/01;",
"02458099999","2010-03-30T00:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","210,1,N,0030,1","00180,1,C,N","007000,1,N,1","+0020,1","+0020,1","09998,1",,,"10,1","8,1,06,1","06,1,+00180,1,99,9",,,,"99999,9,09973,1","2,1,002,1,+999,9","SYN082AAXX  30001 02458 47257 /2103 10020 20020 39973 49998 52002 71087 333 86/06 88/44;",
"02458099999","2010-03-30T03:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","210,1,N,0020,1","00600,1,C,N","030000,1,N,1","+0018,1","+0017,1","10010,1",,,"00,1","8,1,03,1","08,1,+00600,1,99,9",,,,"99999,9,09984,1","3,1,011,1,+999,9","SYN076AAXX  30031 02458 47580 /2102 10018 20017 39984 40010 53011 70086 333 88/20;",
"02458099999","2010-03-30T06:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","230,1,N,0020,1","00540,1,C,N","050000,1,N,1","+0017,1","+0012,1","10031,1","12,0005,9,1","24,0018,9,1","00,1","6,1,06,1","08,1,+00540,1,99,9",,"120,M,+0023,1","999,N,+0006,1","99999,9,10005,1","2,1,021,1,+999,9","SYN100AAXX  30061 02458 17484 /2302 10017 20012 30005 40031 52021 69952 70062 333 10023 20006 70019 88/18;",
"02458099999","2010-03-30T09:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","200,1,N,0020,1","00570,1,C,N","040000,1,N,1","+0021,1","+0006,1","10053,1",,,,,"08,1,+00570,1,99,9",,,,"99999,9,10028,1","2,1,023,1,+999,9","SYN070AAXX  30091 02458 45482 /2002 10021 20006 30028 40053 52023 333 88/19;",
"02458099999","2010-03-30T12:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","210,1,N,0020,1","00720,1,C,N","045000,1,N,1","+0023,1","+0000,1","10070,1",,,,,"08,1,+00720,1,99,9",,,,"99999,9,10044,1","2,1,017,1,+999,9","SYN070AAXX  30121 02458 45583 /2102 10023 20000 30044 40070 52017 333 88/24;",
"02458099999","2010-03-30T15:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","050,1,N,0010,1","99999,9,9,N","040000,1,N,1","+0027,1","-0001,1","10073,1",,,,,,,,,"99999,9,10047,1","3,1,003,1,+999,9","SYN060AAXX  30151 02458 45982 /0501 10027 21001 30047 40073 53003;",
"02458099999","2010-03-30T18:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","080,1,N,0010,1","99999,9,9,N","045000,1,N,1","+0000,1","-0011,1","10077,1",,,,,,,"120,M,+0049,1","999,N,-0003,1","99999,9,10051,1","3,1,004,1,+999,9","SYN076AAXX  30181 02458 35983 /0801 10000 21011 30051 40077 53004 333 10049 21003;",
"02458099999","2010-03-30T21:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","110,1,N,0040,1","99999,9,9,N","035000,1,N,1","-0004,1","-0008,1","10080,1",,,,,,,,,"99999,9,10054,1","2,1,003,1,+999,9","SYN060AAXX  30211 02458 45981 /1104 11004 21008 30054 40080 52003;",
"02458099999","2010-03-31T00:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","100,1,N,0030,1","00090,1,C,N","004700,1,N,1","-0011,1","-0011,1","10082,1",,,"10,1","2,1,06,1","09,1,+00090,1,99,9",,,,"99999,9,10056,1","0,1,002,1,+999,9","SYN076AAXX  31001 02458 47/47 /1003 11011 21011 30056 40082 50002 71010 333 89/03;",
"02458099999","2010-03-31T03:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","070,1,N,0040,1","00120,1,C,N","010000,1,N,1","-0011,1","-0011,1","10075,1",,,,,"09,1,+00120,1,99,9",,,,"99999,9,10049,1","7,1,007,1,+999,9","SYN070AAXX  31031 02458 45/60 /0704 11011 21011 30049 40075 57007 333 89/04;",
