"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04208099999","2010-01-06T06:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","330,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0170,1","-0171,1","10280,1","99999,9,10226,1","7,1,003,1,+999,9",,"SYN060AAXX  06064 04208 46/// /3318 11170 21171 30226 40280 57003;",
"04208099999","2010-01-06T09:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","310,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0178,1","-0179,1","10276,1","99999,9,10222,1","7,1,004,1,+999,9",,"SYN060AAXX  06094 04208 46/// /3118 11178 21179 30222 40276 57004;",
"04208099999","2010-01-06T12:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","340,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0180,1","-0182,1","10263,1","99999,9,10209,1","7,1,013,1,+999,9",,"SYN060AAXX  06124 04208 46/// /3418 11180 21182 30209 40263 57013;",
"04208099999","2010-01-06T15:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","330,1,N,0087,1","99999,9,9,N","999999,9,N,1","-0192,1","-0194,1","10258,1","99999,9,10203,1","7,1,006,1,+999,9",,"SYN060AAXX  06154 04208 46/// /3317 11192 21194 30203 40258 57006;",
"04208099999","2010-01-06T18:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","330,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0196,1","-0197,1","10250,1","99999,9,10195,1","7,1,008,1,+999,9",,"SYN060AAXX  06184 04208 46/// /3314 11196 21197 30195 40250 57008;",
"04208099999","2010-01-06T21:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","320,1,N,0062,1","99999,9,9,N","999999,9,N,1","-0199,1","-0202,1","10247,1","99999,9,10192,1","7,1,003,1,+999,9",,"SYN060AAXX  06214 04208 46/// /3212 11199 21202 30192 40247 57003;",
"04208099999","2010-01-07T00:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","320,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0203,1","-0205,1","10240,1","99999,9,10185,1","7,1,007,1,+999,9",,"SYN060AAXX  07004 04208 46/// /3210 11203 21205 30185 40240 57007;",
"04208099999","2010-01-07T03:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","310,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0201,1","-0204,1","10222,1","99999,9,10167,1","7,1,018,1,+999,9",,"SYN060AAXX  07034 04208 46/// /3109 11201 21204 30167 40222 57018;",
"04208099999","2010-01-07T06:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","300,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0200,1","-0203,1","10203,1","99999,9,10148,1","7,1,019,1,+999,9",,"SYN060AAXX  07064 04208 46/// /3005 11200 21203 30148 40203 57019;",
"04208099999","2010-01-07T09:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","270,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0199,1","-0202,1","10183,1","99999,9,10129,1","7,1,019,1,+999,9",,"SYN060AAXX  07094 04208 46/// /2705 11199 21202 30129 40183 57019;",
