"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04253099999","2010-01-05T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","100,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0005,1","-0059,1","10284,1","99999,9,10256,1","7,1,011,1,+999,9",,"SYN060AAXX  05154 04253 46/// /1007 11005 21059 30256 40284 57011;",
"04253099999","2010-01-05T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0005,1","-0054,1","10258,1","99999,9,10231,1","7,1,025,1,+999,9",,"SYN060AAXX  05184 04253 46/// /0608 11005 21054 30231 40258 57025;",
"04253099999","2010-01-05T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0009,1","-0055,1","10240,1","99999,9,10213,1","7,1,018,1,+999,9",,"SYN060AAXX  05214 04253 46/// /0407 11009 21055 30213 40240 57018;",
"04253099999","2010-01-06T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","010,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0007,1","-0040,1","10220,1","99999,9,10193,1","7,1,020,1,+999,9",,"SYN060AAXX  06004 04253 46/// /0105 11007 21040 30193 40220 57020;",
"04253099999","2010-01-06T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0009,1","-0065,1","10195,1","99999,9,10168,1","7,1,025,1,+999,9",,"SYN060AAXX  06034 04253 46/// /0403 11009 21065 30168 40195 57025;",
"04253099999","2010-01-06T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","160,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0002,1","-0035,1","10184,1","99999,9,10157,1","7,1,011,1,+999,9",,"SYN060AAXX  06064 04253 46/// /1614 11002 21035 30157 40184 57011;",
"04253099999","2010-01-06T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","140,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0006,1","-0046,1","10181,1","99999,9,10154,1","7,1,003,1,+999,9",,"SYN060AAXX  06094 04253 46/// /1406 11006 21046 30154 40181 57003;",
"04253099999","2010-01-06T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","050,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0017,1","-0044,1","10173,1","99999,9,10146,1","7,1,008,1,+999,9",,"SYN060AAXX  06124 04253 46/// /0505 11017 21044 30146 40173 57008;",
"04253099999","2010-01-06T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","010,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0010,1","-0039,1","10170,1","99999,9,10143,1","7,1,003,1,+999,9",,"SYN060AAXX  06154 04253 46/// /0103 11010 21039 30143 40170 57003;",
"04253099999","2010-01-06T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0014,1","-0033,1","10143,1","99999,9,10116,1","7,1,027,1,+999,9",,"SYN060AAXX  06184 04253 46/// /0405 11014 21033 30116 40143 57027;",
"04253099999","2010-01-06T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","350,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0011,1","-0036,1","10128,1","99999,9,10101,1","7,1,015,1,+999,9",,"SYN060AAXX  06214 04253 46/// /3504 11011 21036 30101 40128 57015;",
"04253099999","2010-01-07T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0019,1","-0042,1","10110,1","99999,9,10083,1","7,1,018,1,+999,9",,"SYN060AAXX  07004 04253 46/// /0404 11019 21042 30083 40110 57018;",
"04253099999","2010-01-07T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0011,1","-0036,1","10106,1","99999,9,10079,1","7,1,004,1,+999,9",,"SYN060AAXX  07034 04253 46/// /1804 11011 21036 30079 40106 57004;",
"04253099999","2010-01-07T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0001,1","-0039,1","10089,1","99999,9,10062,1","7,1,017,1,+999,9",,"SYN060AAXX  07064 04253 46/// /0609 11001 21039 30062 40089 57017;",
"04253099999","2010-01-07T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","170,1,N,0057,1","99999,9,9,N","999999,9,N,1","+0018,1","-0030,1","10083,1","99999,9,10056,1","7,1,006,1,+999,9",,"SYN060AAXX  07094 04253 46/// /1711 10018 21030 30056 40083 57006;",
"04253099999","2010-01-07T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0010,1","-0016,1","10080,1","99999,9,10053,1","7,1,003,1,+999,9",,"SYN060AAXX  07124 04253 46/// /0606 10010 21016 30053 40080 57003;",
"04253099999","2010-01-07T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0002,1","-0011,1","10064,1","99999,9,10037,1","7,1,016,1,+999,9",,"SYN060AAXX  07154 04253 46/// /0605 10002 21011 30037 40064 57016;",
"04253099999","2010-01-07T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","020,1,N,0036,1","99999,9,9,N","999999,9,N,1","+0003,1","-0007,1","10025,1","99999,9,09998,1","7,1,039,1,+999,9",,"SYN060AAXX  07184 04253 46/// /0207 10003 21007 39998 40025 57039;",
