"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04382099999","2010-01-17T06:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","330,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0013,1","-0062,1","09804,1","99999,9,09756,1","2,1,010,1,+999,9",,"SYN060AAXX  17064 04382 46/// /3304 11013 21062 39756 49804 52010;",
"04382099999","2010-01-17T09:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","230,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0004,1","-0042,1","09809,1","99999,9,09762,1","2,1,006,1,+999,9",,"SYN060AAXX  17094 04382 46/// /2303 11004 21042 39762 49809 52006;",
"04382099999","2010-01-17T12:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","220,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0010,1","-0011,1","09813,1","99999,9,09765,1","2,1,003,1,+999,9",,"SYN060AAXX  17124 04382 46/// /2208 11010 21011 39765 49813 52003;",
"04382099999","2010-01-17T15:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","230,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0001,1","-0002,1","09816,1","99999,9,09769,1","2,1,004,1,+999,9",,"SYN060AAXX  17154 04382 46/// /2310 11001 21002 39769 49816 52004;",
"04382099999","2010-01-17T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","140,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0007,1","-0008,1","09828,1","99999,9,09780,1","2,1,011,1,+999,9",,"SYN060AAXX  17184 04382 46/// /1405 11007 21008 39780 49828 52011;",
"04382099999","2010-01-17T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","170,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0025,1","-0026,1","09855,1","99999,9,09807,1","2,1,027,1,+999,9",,"SYN060AAXX  17214 04382 46/// /1707 11025 21026 39807 49855 52027;",
"04382099999","2010-01-18T00:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0039,1","-0053,1","09877,1","99999,9,09829,1","2,1,022,1,+999,9",,"SYN060AAXX  18004 04382 46/// /1908 11039 21053 39829 49877 52022;",
"04382099999","2010-01-18T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","190,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0050,1","-0065,1","09896,1","99999,9,09847,1","2,1,018,1,+999,9",,"SYN060AAXX  18034 04382 46/// /1906 11050 21065 39847 49896 52018;",
"04382099999","2010-01-18T06:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0061,1","-0087,1","09920,1","99999,9,09871,1","2,1,024,1,+999,9",,"SYN060AAXX  18064 04382 46/// /1905 11061 21087 39871 49920 52024;",
"04382099999","2010-01-18T09:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0051,1","-0059,1","09935,1","99999,9,09886,1","2,1,015,1,+999,9",,"SYN060AAXX  18094 04382 46/// /1904 11051 21059 39886 49935 52015;",
